Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Brass: Birmingham,Gavan Brown,Matt Tolman,Martin Wallace,,
Pandemic Legacy: Season 1,Rob Daviau,Matt Leacock,,,
Gloomhaven,Isaac Childres,,,,
Ark Nova,Mathias Wigge,,,,
Twilight Imperium: Fourth Edition,Dane Beltrami,Corey Konieczka,Christian T. Petersen,,
Terraforming Mars,Jacob Fryxelius,,,,
Dune: Imperium,Paul Dennen,,,,
Gloomhaven: Jaws of the Lion,Isaac Childres,,,,
War of the Ring: Second Edition,Roberto Di Meglio,Marco Maggi,Francesco Nepitello,,
Star Wars: Rebellion,Corey Konieczka,,,,
Spirit Island,R. Eric Reuss,,,,
Gaia Project,Jens Drögemüller,Helge Ostertag,,,
Twilight Struggle,Ananda Gupta,Jason Matthews,,,
Through the Ages: A New Story of Civilization,Vlaada Chvátil,,,,
Great Western Trail,Alexander Pfister,,,,
The Castles of Burgundy,Stefan Feld,,,,
Scythe,Jamey Stegmaier,,,,
7 Wonders Duel,Antoine Bauza,Bruno Cathala,,,
Eclipse: Second Dawn for the Galaxy,Touko Tahkokallio,,,,
Brass: Lancashire,Martin Wallace,,,,
Nemesis,Adam Kwapiński,,,,
Clank! Legacy: Acquisitions Incorporated,Andy Clautice,Paul Dennen,,,
Concordia,Mac Gerdts,,,,
A Feast for Odin,Uwe Rosenberg,,,,
Wingspan,Elizabeth Hargrave,,,,
Terra Mystica,Jens Drögemüller,Helge Ostertag,,,
Arkham Horror: The Card Game,Nate French,Maxine Juniper Newman,Matthew J. Newman,,
Lost Ruins of Arnak,Elwen,Mín,,,
Great Western Trail: Second Edition,Alexander Pfister,,,,
Root,Cole Wehrle,,,,
Orléans,Reiner Stockhausen,,,,
Everdell,James A. Wilson,,,,
Mage Knight Board Game,Vlaada Chvátil,,,,
Barrage,Tommaso Battista,Simone Luciani,,,
Viticulture Essential Edition,Jamey Stegmaier,Alan Stone,,,
The Crew: Mission Deep Sea,Thomas Sing,,,,
Too Many Bones,Josh J. Carlson,Adam Carlson,,,
Food Chain Magnate,Jeroen Doumen,Joris Wiersinga,,,
Pax Pamir: Second Edition,Cole Wehrle,,,,
Marvel Champions: The Card Game,Michael Boggs,,,,
Frosthaven,Isaac Childres,,,,
Underwater Cities,Vladimír Suchý,,,,
Puerto Rico,Andreas Seyfarth,,,,
Caverna: The Cave Farmers,Uwe Rosenberg,,,,
Cascadia,Randy Flynn,,,,
Blood Rage,Eric M. Lang,,,,
Anachrony,Dávid Turczi,,,,
On Mars,Vital Lacerda,,,,
Agricola,Uwe Rosenberg,,,,
Crokinole,(Uncredited),,,,
Kanban EV,Vital Lacerda,,,,
Heat: Pedal to the Metal,Asger Harding Granerud,Daniel Skjold Pedersen,,,
Sleeping Gods,Ryan Laukat,,,,
Pandemic Legacy: Season 0,Rob Daviau,Matt Leacock,,,
Pandemic Legacy: Season 2,Rob Daviau,Matt Leacock,,,
Mansions of Madness: Second Edition,Nikki Valens,,,,
Lisboa,Vital Lacerda,,,,
Maracaibo,Alexander Pfister,,,,
Tzolk'in: The Mayan Calendar,Simone Luciani,Daniele Tascini,,,
Power Grid,Friedemann Friese,,,,
The Quacks of Quedlinburg,Wolfgang Warsch,,,,
Clans of Caledonia,Juma Al-JouJou,,,,
Le Havre,Uwe Rosenberg,,,,
Paladins of the West Kingdom,S J Macdonald,Shem Phillips,,,
Star Wars: Imperial Assault,Justin Kemppainen,Corey Konieczka,Jonathan Ying,,
The Crew: The Quest for Planet Nine,Thomas Sing,,,,
The Gallerist,Vital Lacerda,,,,
Grand Austria Hotel,Virginio Gigli,Simone Luciani,,,
Cthulhu: Death May Die,Rob Daviau,Eric M. Lang,,,
Mechs vs. Minions,Chris Cantrell,Rick Ernst,Stone Librande,Prashant Saraswat,Nathan Tiras
Android: Netrunner,Richard Garfield,Lukas Litzsinger,,,
Kingdom Death: Monster,Adam Poots,,,,
Azul,Michael Kiesling,,,,
Obsession,Dan Hallagan,,,,
Agricola (Revised Edition),Uwe Rosenberg,,,,
Race for the Galaxy,Thomas Lehmann,,,,
Eclipse: New Dawn for the Galaxy,Touko Tahkokallio,,,,
Five Tribes,Bruno Cathala,,,,
Aeon's End,Jenny Iglesias,Nick Little (I),Kevin Riley,,
Clank!: A Deck-Building Adventure,Paul Dennen,,,,
Fields of Arle,Uwe Rosenberg,,,,
Teotihuacan: City of Gods,Daniele Tascini,,,,
Through the Ages: A Story of Civilization,Vlaada Chvátil,,,,
Beyond the Sun,Dennis K. Chan,,,,
Lords of Waterdeep,Peter Lee,Rodney Thompson,,,
The Voyages of Marco Polo,Simone Luciani,Daniele Tascini,,,
Dominant Species,Chad Jensen,,,,
Robinson Crusoe: Adventures on the Cursed Island,Joanna Kijanka,Ignacy Trzewiczek,,,
7 Wonders,Antoine Bauza,,,,
The Search for Planet X,Matthew O'Malley,Ben Rosset,,,
Tainted Grail: The Fall of Avalon,Krzysztof Piskorski,Marcin Świerkot,,,
El Grande,Wolfgang Kramer,Richard Ulrich,,,
Architects of the West Kingdom,S J Macdonald,Shem Phillips,,,
Battlestar Galactica: The Board Game,Corey Konieczka,,,,
The 7th Continent,Ludovic Roudy,Bruno Sautter,,,
Decrypto,Thomas Dagenais-Lespérance,,,,
Inis,Christian Martinez,,,,
Keyflower,Sebastian Bleasdale,Richard Breese,,,
Raiders of the North Sea,Shem Phillips,,,,
Trickerion: Legends of Illusion,Richard Amann,Viktor Peter,,,
Caylus,William Attia,,,,
Tigris & Euphrates,Reiner Knizia,,,,
Dominion: Intrigue,Donald X. Vaccarino,,,,
Oathsworn: Into the Deepwood,Jamie Jolly,,,,
Lorenzo il Magnifico,Flaminia Brasini,Virginio Gigli,Simone Luciani,,
Mombasa,Alexander Pfister,,,,
Troyes,Sébastien Dujardin,Xavier Georges,Alain Orban,,
Eldritch Horror,Corey Konieczka,Nikki Valens,,,
The Lord of the Rings: Journeys in Middle-Earth,Nathan I. Hajek,Grace Holdinghaus,,,
Concordia Venus,Mac Gerdts,,,,
Twilight Imperium: Third Edition,Christian T. Petersen,,,,
Russian Railroads,Helmut Ohley,"Leonhard ""Lonny"" Orgler",,,
Patchwork,Uwe Rosenberg,,,,
Carnegie,Xavier Georges,,,,
Trajan,Stefan Feld,,,,
Rising Sun,Eric M. Lang,,,,
Dominion,Donald X. Vaccarino,,,,
Dwellings of Eldervale,Luke Laurie,,,,
Aeon's End: War Eternal,Jenny Iglesias,Nick Little (I),Kevin Riley,,
Age of Steam,John Bohrer,Martin Wallace,,,
The Quest for El Dorado,Reiner Knizia,,,,
Vinhos: Deluxe Edition,Vital Lacerda,,,,
Clank! In! Space!: A Deck-Building Adventure,Paul Dennen,,,,
Hansa Teutonica,Andreas Steding,,,,
Pandemic: Iberia,Jesús Torres Castro,Matt Leacock,,,
The Isle of Cats,Frank West,,,,
Codenames,Vlaada Chvátil,,,,
Forbidden Stars,Samuel Bailey,James Kniffen,Corey Konieczka,,
Yokohama,Hisashi Hayashi,,,,
Champions of Midgard,Ole Steiness,,,,
PARKS,Henry Audubon,,,,
