Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Nutty Noodles,Javier Jésus Domínguez Cruz,N/A,N/A,N/A,N/A
La Bataille de Deutsch-Wagram,Monte Mattson,Dennis A. Spors,N/A,N/A,N/A
Tunisie 1943,Théophile Monnier,Nicolas Pilartz,N/A,N/A,N/A
Dog Sector,Barry Kendall,Michael W. Kennedy,N/A,N/A,N/A
Os Reinos de Drunagor,Daniel Alves,Eduardo Cavalcante,N/A,N/A,N/A
Alexandros,Mike Markowitz,N/A,N/A,N/A,N/A
Flagship: Coyote Stands,Dan Verssen,N/A,N/A,N/A,N/A
Commissioner Victor: The lost painting case,Krzysztof Matusik,N/A,N/A,N/A,N/A
"Triumphant Return: The Soviet Liberation of Kiev, November 1943",John Desch,N/A,N/A,N/A,N/A
Hidden Strike: American Revolution,Dorian Richard,Maurice Suckling,N/A,N/A,N/A
"Saipan: Conquest of the Marianas, June 1944",Kip Allen,N/A,N/A,N/A,N/A
Karnaxis,Andrew Schauerhamer,N/A,N/A,N/A,N/A
Vanished!,Uli Geissler,N/A,N/A,N/A,N/A
Cubeez,Treo Game Designers,N/A,N/A,N/A,N/A
3 Stones,Andy Daniel,N/A,N/A,N/A,N/A
Ghost Blaster,Wolfgang Dirscherl,N/A,N/A,N/A,N/A
Dark Blades,Chris Bayliss,Andy McKay,N/A,N/A,N/A
Blackbrim: 1876,N/A,N/A,N/A,N/A,N/A
Head of Mousehold,Adam Wyse,N/A,N/A,N/A,N/A
"Bar-Lev: The 1973 Arab-Israeli War, Deluxe Edition",Chris Fawcett,N/A,N/A,N/A,N/A
Hunt the Ravager,Clinton Morris,N/A,N/A,N/A,N/A
Puppet Wars,Justin Gibbs,N/A,N/A,N/A,N/A
300: The Board Game,Andrew Parks,N/A,N/A,N/A,N/A
Cattack! No.1,Azumi Date,N/A,N/A,N/A,N/A
The Gig,Jamie Gray,Dann May,Lewis Shaw,Robb Smigielski,N/A
Treasures of Nakbe,Reiner Knizia,N/A,N/A,N/A,N/A
Spot it! On the Road,N/A,N/A,N/A,N/A,N/A
Empires of Zidal,Lee Kress,N/A,N/A,N/A,N/A
GWAR vs. Time!,Matthew Grau,N/A,N/A,N/A,N/A
Rezolution: A Dark Tomorrow,Simon Mackenzie,N/A,N/A,N/A,N/A
SLAPZI,N/A,N/A,N/A,N/A,N/A
Vampire: The Masquerade – Blood Feud,Benjamin Kanelos,N/A,N/A,N/A,N/A
Adaman,P. D. Magnus,N/A,N/A,N/A,N/A
Wolfed,N/A,N/A,N/A,N/A,N/A
It's Obvious,Maxime Rambourg,N/A,N/A,N/A,N/A
Snooker Solitaire,Mark Tuck,N/A,N/A,N/A,N/A
Tzulan Quest,Alessandro Cuneo,N/A,N/A,N/A,N/A
Ptolemy,Geonil,N/A,N/A,N/A,N/A
Above,Yves Charamel-Lenain,N/A,N/A,N/A,N/A
Les Maréchaux IV: Joseph 1809,Denis Sauvage,N/A,N/A,N/A,N/A
Bolt Action: Assault on Normandy,Alessio Cavatore,Rick Priestley,N/A,N/A,N/A
Bloody Keren,Vance von Borries,N/A,N/A,N/A,N/A
Dubbe,Klaus Geis,N/A,N/A,N/A,N/A
London Markets,Michael Schacht,N/A,N/A,N/A,N/A
Kilim,Yannick Chabas,N/A,N/A,N/A,N/A
Paleolithic,Chih-Fan Chen,Chi Wei Lin,N/A,N/A,N/A
Tuppi,(Uncredited),N/A,N/A,N/A,N/A
Knights,Michael Schacht,N/A,N/A,N/A,N/A
Field of Glory Renaissance,Nik Gaukroger,Richard Bodley Scott,N/A,N/A,N/A
Gascony's Legacy,Dylan Birtolo,Josh Derksen,Thomas M. Gofton,Dan Hoang,N/A
"Warhammer 40,000: Kill Team",N/A,N/A,N/A,N/A,N/A
Casino Yahtzee,(Uncredited),N/A,N/A,N/A,N/A
Pitt's War,François-Stanislas Thomas,N/A,N/A,N/A,N/A
Husarengolf,Torsten Marold,N/A,N/A,N/A,N/A
Gameception,James Woodward,N/A,N/A,N/A,N/A
Polyssimo Challenge,Alain Brobecker,N/A,N/A,N/A,N/A
Guerra De Mitos V,N/A,N/A,N/A,N/A,N/A
Cold Case: A Pinch of Murder,(Uncredited),Jim Symonds,N/A,N/A,N/A
MeM,Anatol Holt,N/A,N/A,N/A,N/A
Liberia: Descent Into Hell – The Liberian Civil War 1989-1996,Ben Madison,N/A,N/A,N/A,N/A
Magic: The Gathering – Duel Decks: Sorin vs. Tibalt,Kelly Digges,Chris Millar,N/A,N/A,N/A
DOODLES: Il gioco degli scarabocchi,Jeff Lai,N/A,N/A,N/A,N/A
N-Tropy,Paul Wickens,N/A,N/A,N/A,N/A
Creatures and Cupcakes,Adrian Adamescu,Daryl Andrews,N/A,N/A,N/A
Toko Island,Marie Fort,Wilfried Fort,N/A,N/A,N/A
