Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Farm Rescue,5.543,7.29,60,N/A,2019,1.00,1,5,15,15,4,N/A,N/A
Anno 1452,5.543,6.03,195,N/A,1999,2.94,2,4,90,90,12,Strategy,N/A
Ravenous River,5.543,5.96,202,N/A,2016,1.50,2,7,20,20,14,N/A,N/A
The Three Days Of Gettysburg,5.543,7.05,63,N/A,1995,4.15,2,8,420,420,12,Wargames,N/A
Star Viking,5.543,6.53,106,N/A,1981,2.82,2,2,60,60,10,Strategy,Wargames
Flying Carpet,5.543,5.81,366,N/A,1987,1.53,3,6,20,20,12,Family,N/A
Suspects: The MacGuffin Affair,5.543,6.55,82,N/A,2021,1.50,1,8,60,90,10,N/A,N/A
Magical Friends and How to Summon Them,5.543,7.64,57,N/A,2023,2.33,2,5,60,90,12,N/A,N/A
The Quick and the Undead,5.543,6.76,75,N/A,2020,2.00,1,6,45,60,8,N/A,N/A
Supply Lines of the American Revolution: The Southern Strategy,5.543,7.29,47,N/A,2018,2.50,2,2,120,120,N/A,Wargames,N/A
Frag,5.543,5.66,1939,N/A,2001,1.76,2,6,30,30,10,Thematic,N/A
The Lord of the Rings: The Two Towers,5.543,7.31,55,N/A,2002,3.00,2,2,120,120,12,Wargames,N/A
Volley & Bayonet,5.543,7.63,49,N/A,1994,2.60,2,4,240,240,14,Wargames,N/A
Black Hole Rainbows,5.543,7.32,76,N/A,2022,1.00,2,6,20,40,8,N/A,N/A
Slash: Romance without boundaries,5.543,6.43,128,N/A,2013,1.14,3,9,45,45,14,N/A,N/A
CDSK,5.543,7.03,67,N/A,2023,1.00,2,16,42,97,14,N/A,N/A
Septikon: Uranium Wars,5.543,6.36,130,N/A,2012,2.30,2,2,45,45,10,Family,Strategy
Justinian,5.543,6.96,69,N/A,1999,2.57,2,2,240,240,12,Wargames,N/A
Bermuda Pirates,5.543,6.31,125,N/A,2019,1.00,2,4,20,30,7,N/A,N/A
Warzone: Universe Under Siege,5.543,7.5,49,N/A,2004,3.60,2,8,90,240,12,Wargames,N/A
Dragon Boats of the Four Seas,5.543,6.53,92,N/A,2019,2.50,2,4,45,45,12,N/A,N/A
Stonespine Architects,5.543,7.76,37,N/A,2024,2.00,1,5,45,60,10,N/A,N/A
Sherlock Holmes Consulting Detective: Vanishing from Hyde Park,5.543,7.15,54,N/A,2017,2.00,1,8,N/A,N/A,N/A,Thematic,N/A
Cthulhu: Rise of the Cults,5.543,6.58,115,N/A,2017,3.20,1,4,90,120,14,N/A,N/A
Holy Roman Empire,5.543,6.46,104,N/A,1984,2.79,2,6,240,240,12,Wargames,N/A
Kyudo,5.543,6.57,90,N/A,2022,1.00,2,4,25,25,7,N/A,N/A
Visby,5.543,6.55,95,N/A,2015,1.25,2,2,20,30,10,N/A,N/A
Cruel Seas: Starter Set,5.543,7.34,58,N/A,2018,2.50,2,2,30,60,12,Wargames,N/A
Ocean Limbo,5.543,6.15,136,N/A,2011,1.06,2,5,20,20,5,N/A,N/A
Advanced Tobruk System Basic Game 1a: Screaming Eagles,5.543,7.0,66,N/A,2005,2.45,2,2,60,60,12,Wargames,N/A
Little Wars,5.543,7.1,62,N/A,1913,2.38,2,12,90,180,12,Wargames,N/A
Deluxe G.E.V.,5.543,7.48,46,N/A,2001,2.50,2,2,30,30,10,Wargames,N/A
Veletas,5.543,6.44,102,N/A,2013,2.00,2,2,45,45,5,Abstract,N/A
100 Swords: The Gold King's Dungeon,5.543,7.61,44,N/A,2017,1.50,1,2,25,25,13,N/A,N/A
Telepaths,5.543,6.27,140,N/A,1992,1.25,4,24,60,60,9,Party,N/A
Pictionary Mania,5.543,6.02,171,N/A,2005,1.77,4,4,30,30,12,N/A,N/A
