Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Raid & Trade,Haralampos Tsakiris,N/A,N/A,N/A,N/A
Monopoly: Sailor Moon,N/A,N/A,N/A,N/A,N/A
Trivial Pursuit: Tim Burton's The Nightmare Before Christmas Collector's Edition,(Uncredited),N/A,N/A,N/A,N/A
Monopoly: The Big Bang Theory,N/A,N/A,N/A,N/A,N/A
PRRRT...,Bruno Cathala,Ludovic Maublanc,N/A,N/A,N/A
Rolit Travel,Kinetic,N/A,N/A,N/A,N/A
T.E.G. II,(Uncredited),N/A,N/A,N/A,N/A
Banqi,(Uncredited),N/A,N/A,N/A,N/A
Dice Pyramid,Raul Portales,N/A,N/A,N/A,N/A
Fish & Ships,Oliver Igelhaut,N/A,N/A,N/A,N/A
Sold! The Antique Dealer Game,Frank DiLorenzo,N/A,N/A,N/A,N/A
Tricks,Alan R. Moon,N/A,N/A,N/A,N/A
Go 500 Racing Dice Game,(Uncredited),N/A,N/A,N/A,N/A
Psychologizer,(Uncredited),N/A,N/A,N/A,N/A
Aljubarrota: The Royal Battle,David M Santos-Mendes,N/A,N/A,N/A,N/A
Monopoly: The Heirloom Edition,(Uncredited),N/A,N/A,N/A,N/A
Jammerlappen,Ricardo Barreto,Denis Görz,N/A,N/A,N/A
"Ready, Set, Sloth!",Stefan Kloß,Anna Oppolzer,N/A,N/A,N/A
Coven,Jason Maxwell,Paul Saxberg,N/A,N/A,N/A
Scene It? Friends Deluxe Edition,(Uncredited),N/A,N/A,N/A,N/A
Poltava's Dread Day: The Great Northern War 1700-1722 AD,Jason Juneau,N/A,N/A,N/A,N/A
OlymPeak,Sagit Ben-Yehuda,Avraham Yoffe,N/A,N/A,N/A
"Operation Shock Troop: The Israeli Counterstroke Against Syria, 1973",Perry Moore,N/A,N/A,N/A,N/A
U.F.O.s,Alan R. Moon,N/A,N/A,N/A,N/A
The Queen's Collection,Daniel Bernsen,N/A,N/A,N/A,N/A
"MacArthur: The Road to Bataan, Dec 1941 - Jan 1942",Jack Greene,N/A,N/A,N/A,N/A
Fishy,Alan R. Moon,Alan Moon,N/A,N/A,N/A
United Nations: A Game of World Domination in Our Time,J. Michael Hemphill,J. Stephen Peek,N/A,N/A,N/A
Treasure Falls,Gunter Baars,N/A,N/A,N/A,N/A
Route East,N/A,N/A,N/A,N/A,N/A
Highland Clans,Ralf Burkert,N/A,N/A,N/A,N/A
Monopoly: Dungeons & Dragons – Honor Among Thieves,N/A,N/A,N/A,N/A,N/A
Disney Hocus Pocus: Tricks & Wits Card Game,Fertessa Allyse,N/A,N/A,N/A,N/A
Gnomes and Associates,Mohamed Ait-Mehdi,Damien Rocroy,N/A,N/A,N/A
More Aggressive Attitudes: The 1862 Virginia Campaign,John Theissen,N/A,N/A,N/A,N/A
Alley Thieves,Mandy Tong,N/A,N/A,N/A,N/A
Kroko Loko,Richard den Dulk,Nico den Dulk,N/A,N/A,N/A
Make a Mess: Holy Cat Edition,Delphin Druelle,N/A,N/A,N/A,N/A
The Wall: Delitto sotto i riflettori,Remo Conzadori,Christian Giove,N/A,N/A,N/A
Power Play,Leslie Dixon,Allen D. Eldridge,David L. Hoover,N/A,N/A
Plutôt mort que Perse !,Frédéric Bey,Nicolas Stratigos,N/A,N/A,N/A
Lama Express,Manfred Ludwig,N/A,N/A,N/A,N/A
Doxa: The Card Game,Alonso Adrian Luzarreta Salinas,N/A,N/A,N/A,N/A
Warangel Card Game,Angelo Porazzi,N/A,N/A,N/A,N/A
Szczury Pustyni,Wojciech Zalewski,N/A,N/A,N/A,N/A
Campaigns of Napoleon,Eric Goldberg,Daniel Scott Palter,John Prados,N/A,N/A
Blood Royals,Jason Tagmire,N/A,N/A,N/A,N/A
Stealth Chess,(Uncredited),N/A,N/A,N/A,N/A
Trivial Pursuit: 2000s,(Uncredited),N/A,N/A,N/A,N/A
Unfinished Business,Selcuk Deniz,Stephan Gust,N/A,N/A,N/A
Galatune,Adam Wik,N/A,N/A,N/A,N/A
Vintage Racers,Sean Brown,N/A,N/A,N/A,N/A
Der Weg nach Drakonia,Folker Jung,N/A,N/A,N/A,N/A
Neptune,Jason Glover,N/A,N/A,N/A,N/A
Atlas: Enchanted Lands,J. Alex Kevern,N/A,N/A,N/A,N/A
Bin'Fa: The Tao of War,Ken Hodkinson,N/A,N/A,N/A,N/A
The Enigma Box,Alvaro Galvez,N/A,N/A,N/A,N/A
Broomsticks and Backflips,Klaus Kreowski,N/A,N/A,N/A,N/A
Chickamauga: River of Death,Chris Perello,N/A,N/A,N/A,N/A
Chrono Corsairs,John Brieger,Vincent Hirtzel,N/A,N/A,N/A
Geister & Gespenster,Eugen Wyss,N/A,N/A,N/A,N/A
Froth It!,N/A,N/A,N/A,N/A,N/A
Rally Up!,Julien Sentis,N/A,N/A,N/A,N/A
Lee vs. Meade: The Battle of Gettysburg,David C. Isby,Phil Orbanes Sr.,Richard H. Berg,N/A,N/A
Murphy's Magic Island,Peter Eric Hendrickson,N/A,N/A,N/A,N/A
AZ Kviz,(Uncredited),N/A,N/A,N/A,N/A
Arkansas Bluff,(Uncredited),N/A,N/A,N/A,N/A
Battle for Olympus,Reiner Knizia,N/A,N/A,N/A,N/A
Brilliant Or BS? Trivia Party Game,Kimelia Weathers Smith,N/A,N/A,N/A,N/A
PowerShot Soccer,Alvin Gan,N/A,N/A,N/A,N/A
Deluges,Guillaume Besançon,N/A,N/A,N/A,N/A
Halli Galli Extreme,Haim Shafir,N/A,N/A,N/A,N/A
Leelawadee,Corné van Moorsel,N/A,N/A,N/A,N/A
Talvisota 1939-1940: La Guerre Russo-Finlandaise,Lionel Liron,N/A,N/A,N/A,N/A
Empires at War,Joseph Miranda,N/A,N/A,N/A,N/A
