Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
World of Warcraft: The Boardgame,Christian T. Petersen,N/A,N/A,N/A,N/A
Tabannusi: Builders of Ur,David Spada,Daniele Tascini,N/A,N/A,N/A
De Vulgari Eloquentia,Mario Papini,N/A,N/A,N/A,N/A
Virus!,Domingo Cabrero,Carlos López,Santi Santisteban,N/A,N/A
Ride the Rails,John Bohrer,N/A,N/A,N/A,N/A
Factory Fun,Corné van Moorsel,N/A,N/A,N/A,N/A
Nothing Personal,Stephen Avery,Tom Vasel,N/A,N/A,N/A
My Village,Inka Brand,Markus Brand,N/A,N/A,N/A
The Bottle Imp,Günter Cornett,N/A,N/A,N/A,N/A
RAF: The Battle of Britain 1940,John H. Butterfield,N/A,N/A,N/A,N/A
Indian Summer,Uwe Rosenberg,N/A,N/A,N/A,N/A
SET,Marsha J. Falco,N/A,N/A,N/A,N/A
The Bridges of Shangri-La,Leo Colovini,N/A,N/A,N/A,N/A
Drop It,Bernhard Lach,Uwe Rapp,N/A,N/A,N/A
DroPolter,Paul Schulz,N/A,N/A,N/A,N/A
Challengers! Beach Cup,Johannes Krenner,Markus Slawitscheck,N/A,N/A,N/A
Warhammer Quest: Blackstone Fortress,(Uncredited),N/A,N/A,N/A,N/A
Tower Up,Frank Crittin,Grégoire Largey,Sébastien Pauchon,N/A,N/A
ALIEN: Fate of the Nostromo,Scott Rogers (II),N/A,N/A,N/A,N/A
Masters of Renaissance: Lorenzo il Magnifico – The Card Game,Simone Luciani,Nestore Mangone,N/A,N/A,N/A
Tramways,Alban Viard,N/A,N/A,N/A,N/A
Glow,Cédrick Chaboussit,N/A,N/A,N/A,N/A
Anomia,Andrew Innes,N/A,N/A,N/A,N/A
Rear Window,Prospero Hall,Peter Lee,N/A,N/A,N/A
Wallenstein (Second Edition),Dirk Henn,N/A,N/A,N/A,N/A
Risk 2210 A.D.,Rob Daviau,Craig Van Ness,N/A,N/A,N/A
I'm the Boss!,Sid Sackson,N/A,N/A,N/A,N/A
Chocolate Factory,Matthew Dunstan,Brett J. Gilbert,N/A,N/A,N/A
Ascending Empires,Ian Cooper (I),N/A,N/A,N/A,N/A
Bios: Origins (Second Edition),Phil Eklund,Jon Manker,N/A,N/A,N/A
Tides of Madness,Kristian Čurla,N/A,N/A,N/A,N/A
Dice Throne: Season Two – Cursed Pirate v. Artificer,Nate Chatellier,Manny Trembley,N/A,N/A,N/A
Salton Sea,David Bernal,N/A,N/A,N/A,N/A
Iwari,Michael Schacht,N/A,N/A,N/A,N/A
Fields of Fire,Ben Hull,N/A,N/A,N/A,N/A
Masmorra: Dungeons of Arcadia,Daniel Alves,Patrick Matheus,Eurico Cunha Neto,N/A,N/A
Inventors of the South Tigris,S J Macdonald,Shem Phillips,N/A,N/A,N/A
La Habana,Reinhard Staupe,N/A,N/A,N/A,N/A
Empire Builder,Darwin Bromley,Bill Fawcett,N/A,N/A,N/A
Mü & More,Doris Matthäus,Frank Nestel,N/A,N/A,N/A
Welcome Back to the Dungeon,Antoine Bauza,Masato Uesugi,N/A,N/A,N/A
Advanced Squad Leader: Starter Kit #3,Ken Dunn,N/A,N/A,N/A,N/A
Green Team Wins,Nathan Thornton,N/A,N/A,N/A,N/A
Sanctum,Filip Neduk,Tomáš Uhlíř,N/A,N/A,N/A
Necromunda,Andy Chambers,Jervis Johnson,Rick Priestley,N/A,N/A
Mystery of the Abbey,Bruno Faidutti,Serge Laget,N/A,N/A,N/A
Pirate's Cove,Paul Randles,Daniel Stahl,N/A,N/A,N/A
HEXplore It: The Valley of the Dead King,Kat Kimoundri,Nathan Loos,Jonathan Mariucci,N/A,N/A
Dungeons & Dragons: Temple of Elemental Evil Board Game,Peter Lee,Ben Petrisor,N/A,N/A,N/A
Bruxelles 1897,Etienne Espreman,N/A,N/A,N/A,N/A
GKR: Heavy Hitters,Matt Hyra,N/A,N/A,N/A,N/A
The Grand Carnival,Rob Cramer,N/A,N/A,N/A,N/A
Bloodborne: The Card Game,Eric M. Lang,N/A,N/A,N/A,N/A
Zhanguo: The First Empire,Marco Canetta,Stefania Niccolini,N/A,N/A,N/A
Fireteam Zero,Mike Langlois,Christian Leonhard,N/A,N/A,N/A
Normandy '44,Mark Simonitch,N/A,N/A,N/A,N/A
Iberian Gauge,Amabel Holland,N/A,N/A,N/A,N/A
Ave Caesar,Wolfgang Riedesser,N/A,N/A,N/A,N/A
Mythic Mischief,Max Anderson,Zac Dixon,Austin Harrison,N/A,N/A
Botswana,Reiner Knizia,Reiner Knizia,Reiner Knizia,N/A,N/A
Axis & Allies,"Larry Harris, Jr.",N/A,N/A,N/A,N/A
