Title,Geek rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Min age,Type 1,Type 2
The Scheldt Campaign,5.533,7.41,43,N/A,2012,2.0,2,2,150,150,12,Wargames,N/A
Zombie World,5.533,7.17,47,N/A,2019,2.75,3,9,120,240,17,N/A,N/A
Pictionary: Party Edition,5.533,6.34,103,N/A,1989,1.0,2,10,60,60,8,N/A,N/A
War of Tanks: France 1940 – The Breakthrough at Dinant,5.533,7.58,43,N/A,2015,3.1,2,2,180,600,N/A,Wargames,N/A
A Famous Victory,5.533,6.43,88,N/A,1994,3.4,1,4,N/A,N/A,12,Wargames,N/A
Affinity,5.533,6.53,86,N/A,2018,0.0,3,8,20,20,8,N/A,N/A
Sacred Valley,5.533,6.82,82,N/A,2023,2.0,3,5,60,60,8,N/A,N/A
Immortal,5.533,7.6,38,N/A,2025,0.0,2,6,30,60,14,N/A,N/A
Kitsu,5.533,7.32,50,N/A,2024,2.0,2,6,25,25,10,N/A,N/A
Fail Safe: Strategic Nuclear Warfare in the Cold War,5.533,7.03,52,N/A,2013,2.57,2,2,90,90,N/A,Wargames,N/A
Kirovograd,5.533,6.9,57,N/A,1983,3.13,2,4,180,180,12,Wargames,N/A
It's a Balloon!?,5.533,6.25,113,N/A,2023,1.0,3,8,15,30,8,N/A,N/A
Iliad: Heroes of Troy,5.533,6.37,93,N/A,2016,1.5,2,4,30,45,12,N/A,N/A
Mycology,5.533,6.36,126,N/A,2024,1.3,2,6,45,60,12,N/A,N/A
Bill & Ted's Excellent Boardgame,5.533,6.04,198,N/A,2016,2.5,2,4,25,50,10,N/A,N/A
Pacal,5.533,6.19,106,N/A,1999,1.67,2,2,20,30,12,N/A,N/A
MeowMeow Mia,5.533,6.78,73,N/A,2018,1.5,5,10,30,45,10,N/A,N/A
Duell,5.533,5.86,295,N/A,1975,2.5,2,2,20,20,12,Abstract,N/A
Reap,5.533,7.13,60,N/A,2022,1.5,2,4,15,30,14,N/A,N/A
Caro,5.533,6.23,103,N/A,2012,1.92,2,4,15,15,8,Abstract,N/A
Shadows of Brimstone: The Impossible Hell Train,5.533,9.5,46,N/A,2025,3.0,1,4,120,120,12,N/A,N/A
"Campaigns of Montrose: A Year of Living Dangerously, 1644-1645",5.533,7.37,44,N/A,2019,2.25,2,2,N/A,N/A,12,Wargames,N/A
A Herceg Nyer!,5.533,7.2,54,N/A,2022,2.0,1,5,30,30,8,N/A,N/A
Legends of Wrestling,5.533,7.83,41,N/A,2002,1.2,1,2,30,30,10,N/A,N/A
Small Detectives,5.533,6.35,96,N/A,2017,1.0,2,5,15,30,8,N/A,N/A
The Gate of R'lyeh,5.533,6.9,61,N/A,2018,2.25,4,8,45,60,12,N/A,N/A
Pop-Tarts Game,5.533,5.92,241,N/A,2020,1.0,2,6,15,15,13,N/A,N/A
The Warlord Game,5.533,6.99,67,N/A,1977,2.67,2,6,180,180,12,Wargames,N/A
Moby Trick,5.533,6.21,135,N/A,2024,1.33,2,4,20,20,10,N/A,N/A
Colour Chess + Lure,5.533,7.42,41,N/A,2017,3.25,2,2,20,60,9,Abstract,N/A
Cubeez,5.533,6.03,168,N/A,2018,1.0,2,4,15,15,6,N/A,N/A
Adam & Eva,5.533,6.02,186,N/A,2004,1.39,2,2,30,30,12,Family,N/A
Blokus Junior,5.533,6.29,90,N/A,2010,1.5,2,2,15,15,5,Children's,N/A
Pepper & Carrot: The Potion Contest,5.533,6.4,82,N/A,2018,1.67,1,4,30,30,10,N/A,N/A
Déole,5.533,7.22,59,N/A,2022,2.33,1,4,25,60,10,N/A,N/A
Le Truc,5.533,6.73,69,N/A,N/A,1.75,2,4,20,20,12,N/A,N/A
Justice League: Dawn of Heroes,5.533,6.45,123,N/A,2017,2.33,2,6,30,90,12,N/A,N/A
Ambagibus,5.533,6.65,73,N/A,2009,1.22,1,1,15,15,N/A,N/A,N/A
Tanxi,5.533,7.88,57,N/A,2024,2.33,3,5,60,80,10,N/A,N/A
Warlock,5.533,5.79,282,N/A,1980,2.26,2,6,60,60,12,N/A,N/A
Combo King,5.533,5.88,234,N/A,2006,1.15,2,4,20,20,8,N/A,N/A
Centurion,5.533,7.39,42,N/A,2023,3.0,2,2,15,25,14,N/A,N/A
Soldiers of the Queen: Battles at Isandhlwana and Omdurman,5.533,6.39,104,N/A,1984,2.77,2,2,240,240,12,Wargames,N/A
CHAINsomnia,5.533,6.79,73,N/A,2018,2.0,1,4,40,60,14,N/A,N/A
El Bazar,5.533,6.82,66,N/A,2007,1.0,3,8,30,30,6,N/A,N/A
Bat Flip,5.533,7.56,47,N/A,2022,2.0,2,2,30,45,12,N/A,N/A
Monster Mansion,5.533,6.6,67,N/A,2020,1.8,2,4,30,30,10,N/A,N/A
Iron Dream,5.533,7.14,53,N/A,2001,2.38,2,2,180,180,N/A,Wargames,N/A
Tianxia,5.533,8.06,35,N/A,2025,3.67,1,4,60,120,14,N/A,N/A
BarBEARian Battlegrounds: Tales of BarBEARia,5.533,7.04,70,N/A,2021,2.0,2,6,30,60,10,N/A,N/A
Bla5t,5.533,7.37,51,N/A,2016,1.5,3,5,45,45,10,N/A,N/A
Doctor Who: Solitaire Story Game (Third Edition),5.533,8.83,32,N/A,2022,2.0,1,1,45,45,11,N/A,N/A
The Rules With No Name,5.533,7.7,37,N/A,N/A,2.14,2,99,30,30,10,N/A,N/A
Without Fail,5.533,6.44,102,N/A,2023,1.0,2,99,20,20,10,N/A,N/A
Star Wars: Silent Death Starfighter Combat Game,5.533,7.12,50,N/A,2001,2.86,2,2,120,120,10,Wargames,N/A
Alice in Wordland,5.533,6.16,134,N/A,2019,1.71,3,8,10,25,8,N/A,N/A
18CLE,5.533,7.14,47,N/A,2016,4.0,3,6,180,270,18,N/A,N/A
Northwest Passage Adventure,5.533,6.16,136,N/A,2012,1.78,2,4,40,40,10,Family,N/A
Kingpin,5.533,6.1,174,N/A,2009,2.29,2,2,30,30,15,Strategy,N/A
Kuni Tori!,5.533,6.84,62,N/A,2010,2.29,2,6,45,45,12,N/A,N/A
Dinosaur Exhibit,5.533,7.09,62,N/A,2022,1.2,1,6,15,25,6,N/A,N/A
Lockwood's Asylum,5.533,7.55,55,N/A,2018,2.5,1,5,45,90,13,N/A,N/A
Space Kraken,5.533,7.53,60,N/A,2023,3.5,1,4,45,300,14,N/A,N/A
Secrets of the Sea,5.533,6.09,138,N/A,2006,1.4,2,4,30,30,6,Children's,Family
Bumbesi,5.533,5.97,187,N/A,2010,1.22,3,6,15,15,8,N/A,N/A
It's Obvious,5.533,6.24,131,N/A,2021,1.25,3,6,20,30,8,N/A,N/A
Quest for the DragonLords (Second Edition),5.533,6.18,137,N/A,2006,3.11,2,4,120,120,12,Strategy,N/A
The Great Pacific War: The Second World War in the Pacific 1937-1945,5.533,6.64,90,N/A,2003,4.0,2,5,240,480,12,Wargames,N/A
Arnhem 1944,5.533,6.67,80,N/A,1997,2.71,2,2,90,90,12,Wargames,N/A
Moving Pictures: Dinosaur Outbreak!,5.533,6.92,56,N/A,2022,2.0,1,2,20,20,8,N/A,N/A
Home Before the Leaves Fall: The Marne Campaign 1914,5.533,6.7,67,N/A,1997,4.22,2,4,360,360,12,Wargames,N/A
Shipwrecked,5.533,5.71,426,N/A,2000,1.47,2,4,30,30,12,Family,N/A
This House Is Haunted,5.533,7.45,50,N/A,2014,1.5,4,8,60,60,N/A,N/A,N/A
Waters Edge,5.533,7.07,62,N/A,2019,1.33,2,4,20,45,10,N/A,N/A
The Battle for Ramadi,5.533,7.0,56,N/A,2018,2.33,1,1,60,120,12,Wargames,N/A
Lovestruck,5.533,7.0,55,N/A,2024,1.2,5,10,45,90,13,N/A,N/A
No Man's Land: Trench Warfare 1914-1918,5.533,7.53,43,N/A,2015,3.0,1,2,30,90,12,Wargames,N/A
STRIKE!: The Game of Worker Rebellion,5.533,7.24,58,N/A,2020,2.33,2,4,45,60,12,Strategy,N/A
UNDO: Treasure Fever,5.533,5.9,216,N/A,2019,1.0,2,6,45,90,10,N/A,N/A
Okey,5.533,6.51,99,N/A,N/A,1.64,2,4,15,60,N/A,Abstract,N/A
Purim,5.533,7.48,40,N/A,2023,2.5,1,4,45,60,14,N/A,N/A
Flying Circus: Aerial Combat in WWI,5.533,6.64,78,N/A,2008,1.64,2,2,30,30,N/A,Wargames,N/A
Iliad: The Siege of Troy,5.533,7.3,47,N/A,1978,2.78,2,2,120,180,12,Wargames,N/A
Stonne Heights,5.533,7.79,43,N/A,2007,3.83,2,2,240,240,12,Wargames,N/A
Cthulhu: Rise of the Cults,5.533,6.42,123,N/A,2017,3.2,1,4,90,120,14,N/A,N/A
Tierra y Libertad: The Mexican Revolution Game (Second Edition),5.533,7.08,63,N/A,2018,2.8,1,5,20,60,12,Wargames,N/A
Vudulhu,5.533,6.15,130,N/A,2017,1.33,3,6,30,45,8,N/A,N/A
Radioactive Bees,5.533,7.88,44,N/A,2020,2.33,1,4,30,60,8,N/A,N/A
They Live: The Card Game – Save The City/Enslave The City,5.533,7.12,60,N/A,2023,2.71,3,6,30,60,16,N/A,N/A
Irish Freedom,5.533,7.35,45,N/A,2013,2.17,1,1,60,60,N/A,Wargames,N/A
Turf War,5.533,7.05,66,11.89,2022,2.33,2,4,15,30,14,N/A,N/A
Sniper! (Second Edition),5.533,6.96,57,N/A,1986,3.0,2,2,60,480,N/A,Wargames,N/A
Die Ritter von der Haselnuss,5.533,5.89,222,N/A,1996,1.1,2,4,30,30,6,Children's,N/A
Tripoley,5.533,5.65,946,21.91,1937,1.48,2,9,60,60,8,Family,N/A
PEAS,5.533,6.64,67,N/A,2023,0.0,2,2,30,30,10,N/A,N/A
Keywood,5.533,6.78,60,N/A,1995,2.0,2,5,120,120,10,N/A,N/A
Schnapp,5.533,6.86,56,N/A,1993,1.0,2,4,20,20,6,N/A,N/A
Kingdoms Rise & Fall: Dorian,5.533,7.55,41,N/A,2023,3.5,3,6,60,240,14,N/A,N/A
The Race to Bastogne: A Solitaire Wargame,5.533,8.05,40,18.99,2022,2.0,1,1,20,50,14,Wargames,N/A
By Swords and Bayonets,5.533,8.47,33,N/A,2025,0.0,1,2,240,360,14,Wargames,N/A
