Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Sea of Legends,Ryan Schapals,Zach Weisman,Jordan Weisman,N/A,N/A
"Win, Place & Show",Thomas M. Divoll,John B. Reilly (I),J. Reilly,T. Divoll,Don Greenwood
Don't Go In There,Jeff Chin,Andrew Nerger,N/A,N/A,N/A
Cheese Thief,Dongxu Li,N/A,N/A,N/A,N/A
Illuminati,Steve Jackson (I),Steve Jackson (I),N/A,N/A,N/A
Ragemore,Bojan Prakljacic,N/A,N/A,N/A,N/A
Resident Evil 3: The Board Game,Sherwin Matthews,N/A,N/A,N/A,N/A
Lunarchitects,Dan Cunningham,N/A,N/A,N/A,N/A
micropul,Jean-François Lassonde,N/A,N/A,N/A,N/A
Nemesis: Retaliation,Adam Kwapiński,N/A,N/A,N/A,N/A
Posthuman,Gordon Calleja,N/A,N/A,N/A,N/A
Kings of Israel,Lance Hill,N/A,N/A,N/A,N/A
Katamino,André Perriolat,N/A,N/A,N/A,N/A
Confucius,Alan Paull,N/A,N/A,N/A,N/A
Tiny Epic Game of Thrones,Scott Almes,N/A,N/A,N/A,N/A
Munchkin Adventure Time,Steve Jackson (I),Andrew Wolf,N/A,N/A,N/A
Court of the Medici,Richard James,N/A,N/A,N/A,N/A
Axis & Allies:  Guadalcanal,"Larry Harris, Jr.",N/A,N/A,N/A,N/A
Wroth,Manny Trembley,N/A,N/A,N/A,N/A
Henchmania,Vincent Jouanneau,Jean-Pierre Nicolas,N/A,N/A,N/A
Nuclear Escalation,Douglas Malewicki,Michael Stackpole,N/A,N/A,N/A
Cry Havoc,Gary Chalk,Tony Webster,N/A,N/A,N/A
Here Come the Rebels,Joseph M. Balkoski,N/A,N/A,N/A,N/A
Boss Monster: Rise of the Minibosses,Johnny O'Neal,Chris O'Neal,Christopher O'Neal,N/A,N/A
Bardwood Grove,Carl Van Ostrand,N/A,N/A,N/A,N/A
SHASN,Zain Memon,N/A,N/A,N/A,N/A
"Warhammer 40,000: Heroes of Black Reach",Clem Seurat,Yann and Clem,N/A,N/A,N/A
Teenage Mutant Ninja Turtles Adventures: Change is Constant,Daniel Lansdown,Pete Walsh,Kevin Wilson,N/A,N/A
Hungry Monkey,Erik Andersson Sundén,N/A,N/A,N/A,N/A
Sewer Pirats,Andreas Pelikan,N/A,N/A,N/A,N/A
Nova Aetas Renaissance,Luca Bernardini,Andrea Colletti,N/A,N/A,N/A
Magic Maze on Mars,Kasper Lapp,N/A,N/A,N/A,N/A
Korea: The Forgotten War,Dean Essig,Rod Miller,N/A,N/A,N/A
Il Principe,Emanuele Ornella,N/A,N/A,N/A,N/A
Foodie Forest,Reiner Knizia,N/A,N/A,N/A,N/A
EOS: Island of Angels,Till Bröstl,Felix Mertikat,N/A,N/A,N/A
Lobotomy,Sebastian Kozak,Michal Kozak,Michal Marciniak,Maciej Owsianny,N/A
Stew,Jason Glover,N/A,N/A,N/A,N/A
Cartaventura: Lhasa,Thomas Dupont,Arnaud Ladagnous,N/A,N/A,N/A
Birdwatcher,Zakir Jafry,N/A,N/A,N/A,N/A
Spectaculum,Reiner Knizia,N/A,N/A,N/A,N/A
Lata,Costa,Rôla,N/A,N/A,N/A
Breaking Away,John Harrington,N/A,N/A,N/A,N/A
7 Empires,Mac Gerdts,N/A,N/A,N/A,N/A
Mini Rogue: A Roguelike Microgame,Paolo Di Stefano,Gabriel Gendron,N/A,N/A,N/A
Nautilus,Brigitte Ditt,Wolfgang Ditt,N/A,N/A,N/A
Chronology,Jane Ruemmele,N/A,N/A,N/A,N/A
Crusader Kings,Tomas Härenstam,Nils Karlén,Jon Manker,Martin Takaichi,N/A
Monikers: Shmonikers,Alex Hague,Justin Vickers,N/A,N/A,N/A
Quartermaster General: Victory or Death – The Peloponnesian War,Ian Brody,N/A,N/A,N/A,N/A
High Rise,Gil Hova,N/A,N/A,N/A,N/A
Evolution: The Origin of Species,Dmitry Knorre,Sergey Machin,N/A,N/A,N/A
Seas of Havoc,Sébastien Bernier-Wong,Peter Gorniak,N/A,N/A,N/A
Yardmaster,Steven Aramini,N/A,N/A,N/A,N/A
Thunder Road,Jim Keifer,N/A,N/A,N/A,N/A
Mai-Star,Seiji Kanai,N/A,N/A,N/A,N/A
Clippers,Alan R. Moon,N/A,N/A,N/A,N/A
Artisans of Splendent Vale,Nikki Valens,N/A,N/A,N/A,N/A
Navia Dratp,Koichi Yamazaki,N/A,N/A,N/A,N/A
Order of the Gilded Compass,Jeffrey D. Allers,Bernd Eisenstein,N/A,N/A,N/A
Combo Fighter,Asger Johansen,N/A,N/A,N/A,N/A
Hordes,Mike McVey,Brian Snoddy,Jason Soles,Rob Stoddard,Matt Wilson (I)
Wooly Wars,Philippe des Pallières,N/A,N/A,N/A,N/A
Monopoly Gamer,Joe Bradford,Austin Rucker,N/A,N/A,N/A
Nightmare Cathedral,Błażej Kubacki,N/A,N/A,N/A,N/A
Afrika: 2nd Edition,Dean Essig,N/A,N/A,N/A,N/A
Jurassic Snack,Bruno Cathala,N/A,N/A,N/A,N/A
Nanatoridori,荒尾 俊樹 (Toshiki Arao),N/A,N/A,N/A,N/A
OctoDice,Christoph Toussaint,N/A,N/A,N/A,N/A
Ace of Aces: Powerhouse Series,Alfred Leonardi,N/A,N/A,N/A,N/A
Fast Forward: FORTRESS,Friedemann Friese,N/A,N/A,N/A,N/A
Maka Bana,François Haffner,N/A,N/A,N/A,N/A
Wonder Woods,Eli Thomas Wolf,N/A,N/A,N/A,N/A
Tail Feathers,Jerry Hawthorne,N/A,N/A,N/A,N/A
The Last Kingdom Board Game,John D. Clair,N/A,N/A,N/A,N/A
Jenseits von Theben,Peter Prinz,N/A,N/A,N/A,N/A
Unlock!: Exotic Adventures – Expedition: Challenger,Vincent Goyat,N/A,N/A,N/A,N/A
Luchador! Mexican Wrestling Dice,Mark Rivera,N/A,N/A,N/A,N/A
1824: Austrian-Hungarian Railway,Helmut Ohley,"Leonhard ""Lonny"" Orgler",N/A,N/A,N/A
Tunisia,Dean Essig,N/A,N/A,N/A,N/A
Conquest of the Fallen Lands,Andrei Burago,N/A,N/A,N/A,N/A
Stonewall Jackson's Way,Joseph M. Balkoski,N/A,N/A,N/A,N/A
Pocket Battles: Celts vs. Romans,Paolo Mori,Francesco Sirocchi,N/A,N/A,N/A
America,Ted Alspach,Friedemann Friese,N/A,N/A,N/A
Marvel Dice Masters: Civil War,Mike Elliott,Eric M. Lang,N/A,N/A,N/A
Bamboleo,Jacques Zeimet,N/A,N/A,N/A,N/A
Barbarossa,Klaus Teuber,Klaus Teuber,N/A,N/A,N/A
Time Bomb Evolution,佐藤 雄介 (Yusuke Sato),N/A,N/A,N/A,N/A
Lost Legacy: Second Chronicle – Vorpal Sword & Whitegold Spire,Seiji Kanai,Hayato Kisaragi,Masato Uesugi,N/A,N/A
Emerald,Rüdiger Dorn,N/A,N/A,N/A,N/A
ArchRavels,Adam McCrimmon,Jordan Miller,N/A,N/A,N/A
London Dread,Asger Johansen,N/A,N/A,N/A,N/A
Catan Geographies: Germany,Klaus Teuber,N/A,N/A,N/A,N/A
Laser Chess,Luke Hooper,Michael Larson,Del Segura,N/A,N/A
Dracula,Michael Rieneck,N/A,N/A,N/A,N/A
Batman: The Animated Series – Gotham City Under Siege,Michael Guigliano,Richard Launius,N/A,N/A,N/A
Ruthless,Roland MacDonald,N/A,N/A,N/A,N/A
Sovereign Skies,Aaron Andrew Wilson,N/A,N/A,N/A,N/A
Nottingham,Uwe Rosenberg,N/A,N/A,N/A,N/A
Dungeons & Dragons Miniatures,Skaff Elias,Rob Heinsoo,Jonathan Tweet,N/A,N/A
